Country,Criteria,Coverage,Year,Migrants_out,Migrants_in,Continent,Population
Ireland,Residence,Both,1994,34800.0,30000.0,Europe,3590386.0
Italy,Residence,Both,1994,65548.0,99105.0,Europe,56843400.0
Kyrgyz Republic,Residence,Both,1994,71197.0,20104.0,Asia,4515100.0
Norway,Residence,Both,1994,19475.0,26911.0,Europe,4336613.0
Romania,Residence,Both,1994,17146.0,878.0,Europe,22730211.0
Russian Federation,Residence,Both,1994,337121.0,1146735.0,Europe,148336000.0
Slovak Republic,Residence,Both,1994,154.0,4923.0,Europe,5346331.0
Sweden,Residence,Both,1994,32661.0,83598.0,Europe,8780745.0
Australia,Residence,Both,1995,149360.0,253940.0,Australia,18072000.0
Azerbaijan,Residence,Both,1995,16033.0,6222.0,Asia,7685000.0
Croatia,Residence,Both,1995,15413.0,42026.0,Europe,4669000.0
Czech Republic,Residence,Both,1995,540.0,10540.0,Europe,10327253.0
Denmark,Residence,Both,1995,34630.0,63187.0,Europe,5233373.0
Finland,Residence,Both,1995,8957.0,12222.0,Europe,5107790.0
Germany,Residence,Both,1995,698113.0,1096048.0,Europe,81678051.0
Iceland,Residence,Both,1995,4285.0,2867.0,Europe,267468.0
Ireland,Residence,Both,1995,33200.0,38000.0,Europe,3608841.0
Italy,Residence,Both,1995,43303.0,96710.0,Europe,56844303.0
Kyrgyz Republic,Residence,Both,1995,37302.0,18368.0,Asia,4560400.0
Latvia,Residence,Both,1995,16512.0,2799.0,Europe,2485056.0
Norway,Residence,Both,1995,19312.0,25678.0,Europe,4359184.0
Romania,Residence,Both,1995,25675.0,4458.0,Europe,22684270.0
Russian Federation,Residence,Both,1995,339600.0,842050.0,Europe,148375726.0
Slovak Republic,Residence,Both,1995,213.0,3055.0,Europe,5361999.0
Sweden,Residence,Both,1995,33984.0,45887.0,Europe,8826939.0
Australia,Residence,Both,1996,158260.0,261330.0,Australia,18311000.0
Azerbaijan,Residence,Both,1996,13151.0,5781.0,Asia,7763000.0
Croatia,Residence,Both,1996,10027.0,44596.0,Europe,4494000.0
Czech Republic,Residence,Both,1996,728.0,10857.0,Europe,10315241.0
Denmark,Residence,Both,1996,37312.0,54445.0,Europe,5263074.0
Finland,Residence,Both,1996,10587.0,13294.0,Europe,5124573.0
Germany,Residence,Both,1996,677494.0,959691.0,Europe,81914831.0
Iceland,Residence,Both,1996,4108.0,3664.0,Europe,268916.0
Ireland,Residence,Both,1996,31200.0,39000.0,Europe,3637510.0
Italy,Residence,Both,1996,47510.0,171967.0,Europe,56860281.0
Kyrgyz Republic,Residence,Both,1996,27584.0,15910.0,Asia,4628400.0
Latvia,Residence,Both,1996,12828.0,2747.0,Europe,2457222.0
Norway,Residence,Both,1996,20590.0,26407.0,Europe,4381336.0
Romania,Residence,Both,1996,21526.0,2053.0,Europe,22619004.0
Russian Federation,Residence,Both,1996,288048.0,631592.0,Europe,148160042.0
Slovak Republic,Residence,Both,1996,222.0,2477.0,Europe,5373361.0
Sweden,Residence,Both,1996,33884.0,39895.0,Europe,8840998.0
Australia,Residence,Both,1997,176560.0,260220.0,Australia,18517000.0
Azerbaijan,Residence,Both,1997,15703.0,7528.0,Asia,7838250.0
Croatia,Residence,Both,1997,18531.0,52343.0,Europe,4572000.0
Czech Republic,Residence,Both,1997,804.0,12880.0,Europe,10304131.0
Denmark,Residence,Both,1997,38393.0,50105.0,Europe,5284991.0
Finland,Residence,Both,1997,9854.0,13564.0,Europe,5139835.0
Germany,Residence,Both,1997,746969.0,840633.0,Europe,82034771.0
Iceland,Residence,Both,1997,3921.0,3990.0,Europe,271128.0
Ireland,Residence,Both,1997,25400.0,45625.0,Europe,3674171.0
Italy,Residence,Both,1997,46273.0,162857.0,Europe,56890372.0
Kyrgyz Republic,Residence,Both,1997,19538.0,12799.0,Asia,4696400.0
Latvia,Residence,Both,1997,12333.0,2913.0,Europe,2432851.0
Norway,Residence,Both,1997,21257.0,31957.0,Europe,4405157.0
Romania,Residence,Both,1997,19945.0,6600.0,Europe,22553978.0
Russian Federation,Residence,Both,1997,232987.0,597651.0,Europe,147915307.0
Slovak Republic,Residence,Both,1997,572.0,2303.0,Europe,5383291.0
Sweden,Residence,Both,1997,38543.0,44818.0,Europe,8846062.0
Australia,Residence,Both,1998,179600.0,268390.0,Australia,18711000.0
Austria,Residence,Both,1998,64272.0,72723.0,Europe,7976789.0
Azerbaijan,Residence,Both,1998,10498.0,5404.0,Asia,7913000.0
Belgium,Residence,Both,1998,72087.0,83812.0,Europe,10203008.0
Cyprus,Residence,Both,1998,6800.0,8622.0,Asia,908040.0
Denmark,Residence,Both,1998,40340.0,51372.0,Europe,5304219.0
Estonia,Residence,Both,1998,2507.0,1219.0,Europe,1386156.0
Finland,Residence,Both,1998,10817.0,14192.0,Europe,5153498.0
Germany,Residence,Both,1998,755358.0,802456.0,Europe,82047195.0
Iceland,Residence,Both,1998,3682.0,4563.0,Europe,274047.0
Ireland,Residence,Both,1998,28600.0,48175.0,Europe,3712696.0
Italy,Residence,Both,1998,45889.0,156885.0,Europe,56906744.0
Kyrgyz Republic,Residence,Both,1998,15671.0,10219.0,Asia,4769000.0
Latvia,Residence,Both,1998,8874.0,3123.0,Europe,2410019.0
Lithuania,Residence,Both,1998,2130.0,2706.0,Europe,3549331.0
Luxembourg,Residence,Both,1998,7574.0,11630.0,Europe,424700.0
Malta,Residence,Both,1998,121.0,349.0,Europe,377516.0
Netherlands,Residence,Both,1998,60441.0,122407.0,Europe,15707209.0
Norway,Residence,Both,1998,22881.0,36704.0,Europe,4431464.0
Poland,Residence,Both,1998,22177.0,8532.0,Europe,38663481.0
Portugal,Residence,Both,1998,11100.0,43100.0,Europe,10160196.0
Romania,Residence,Both,1998,17536.0,11907.0,Europe,22507344.0
Russian Federation,Residence,Both,1998,213377.0,513551.0,Europe,147670692.0
Slovak Republic,Residence,Both,1998,746.0,2052.0,Europe,5390516.0
Slovenia,Residence,Both,1998,6708.0,4603.0,Europe,1981629.0
Sweden,Residence,Both,1998,38518.0,49391.0,Europe,8850974.0
United Kingdom,Residence,Both,1998,198934.0,332390.0,Europe,58487141.0
Australia,Residence,Both,1999,185670.0,289870.0,Australia,18926000.0
Austria,Residence,Both,1999,66923.0,86710.0,Europe,7992324.0
Azerbaijan,Residence,Both,1999,9142.0,4806.0,Asia,7982750.0
Belgium,Residence,Both,1999,74097.0,91624.0,Europe,10226419.0
Croatia,Residence,Both,1999,14285.0,32910.0,Europe,4554000.0
Czech Republic,Residence,Both,1999,1136.0,9910.0,Europe,10283860.0
Denmark,Residence,Both,1999,41340.0,50236.0,Europe,5321799.0
Estonia,Residence,Both,1999,1882.0,1198.0,Europe,1380620.0
Finland,Residence,Both,1999,11966.0,14744.0,Europe,5165474.0
Germany,Residence,Both,1999,685635.0,874023.0,Europe,82100243.0
Iceland,Residence,Both,1999,3663.0,4785.0,Europe,277381.0
Ireland,Residence,Both,1999,27825.0,51675.0,Europe,3754786.0
Italy,Residence,Both,1999,64873.0,185052.0,Europe,56916317.0
Kyrgyz Republic,Residence,Both,1999,17818.0,7879.0,Asia,4840400.0
Latvia,Residence,Both,1999,5898.0,1813.0,Europe,2390482.0
Liechtenstein,Residence,Both,1999,1369.0,2679.0,Europe,32843.0
Lithuania,Residence,Both,1999,1369.0,2679.0,Europe,3524238.0
Luxembourg,Residence,Both,1999,8075.0,12794.0,Europe,430475.0
Malta,Residence,Both,1999,67.0,339.0,Europe,379360.0
Netherlands,Residence,Both,1999,59023.0,119151.0,Europe,15812088.0
Norway,Residence,Both,1999,22842.0,41841.0,Europe,4461913.0
Poland,Residence,Both,1999,21536.0,7525.0,Europe,38660271.0
Portugal,Residence,Both,1999,14040.0,52040.0,Europe,10217828.0
Romania,Residence,Both,1999,12594.0,10078.0,Europe,22472040.0
Russian Federation,Residence,Both,1999,214963.0,379726.0,Europe,147214392.0
Slovak Republic,Residence,Both,1999,618.0,2072.0,Europe,5396020.0
Slovenia,Residence,Both,1999,2606.0,4941.0,Europe,1983045.0
Sweden,Residence,Both,1999,35705.0,49839.0,Europe,8857874.0
Switzerland,Residence,Both,1999,91804.0,107953.0,Europe,7143991.0
United Kingdom,Residence,Both,1999,245340.0,354077.0,Europe,58682466.0
Armenia,Residence,Both,2000,12030.0,1767.0,Asia,3076098.0
Australia,Residence,Both,2000,206120.0,317560.0,Australia,19153000.0
Austria,Residence,Both,2000,64472.0,81675.0,Europe,8011566.0
Azerbaijan,Residence,Both,2000,9947.0,4361.0,Asia,8048600.0
Belarus,Residence,Both,2000,13812.0,25943.0,Europe,10005000.0
Belgium,Residence,Both,2000,75320.0,89388.0,Europe,10251250.0
Czech Republic,Residence,Both,2000,1263.0,7802.0,Europe,10255063.0
Denmark,Residence,Both,2000,43417.0,52915.0,Europe,5339616.0
Estonia,Residence,Both,2000,1784.0,35.0,Europe,1396985.0
Finland,Residence,Both,2000,14311.0,16895.0,Europe,5176209.0
Germany,Residence,Both,2000,674038.0,841158.0,Europe,82211508.0
Iceland,Residence,Both,2000,3489.0,5203.0,Europe,281205.0
