Country,Criteria,Type,Coverage,Year,Migrants
Austria,Residence,Immigrants,Both,2006,98535
Azerbaijan,Residence,Emigrants,Both,2006,2644
Azerbaijan,Residence,Immigrants,Both,2006,2232
Belarus,Residence,Emigrants,Both,2006,8498
Belarus,Residence,Immigrants,Both,2006,14124
Belgium,Residence,Emigrants,Both,2006,88163
Belgium,Residence,Immigrants,Both,2006,137699
Croatia,Residence,Emigrants,Both,2006,7692
Croatia,Residence,Immigrants,Both,2006,14978
Cyprus,Residence,Emigrants,Both,2006,6874
Cyprus,Residence,Immigrants,Both,2006,15545
Czech Republic,Residence,Emigrants,Both,2006,33463
Czech Republic,Residence,Immigrants,Both,2006,68183
Denmark,Residence,Emigrants,Both,2006,46786
Denmark,Residence,Immigrants,Both,2006,56750
Estonia,Residence,Emigrants,Both,2006,5527
Estonia,Residence,Immigrants,Both,2006,2234
Finland,Residence,Emigrants,Both,2006,12107
Finland,Residence,Immigrants,Both,2006,22451
France,Residence,Emigrants,Both,2006,189403
France,Residence,Immigrants,Both,2006,301544
Germany,Residence,Emigrants,Both,2006,639064
Germany,Residence,Immigrants,Both,2006,661855
Iceland,Residence,Emigrants,Both,2006,4577
Iceland,Residence,Immigrants,Both,2006,9832
Ireland,Residence,Emigrants,Both,2006,44409
Ireland,Residence,Immigrants,Both,2006,139434
Italy,Residence,Emigrants,Both,2006,75230
Italy,Residence,Immigrants,Both,2006,297640
Kazakhstan,Residence,Emigrants,Both,2006,33690
Kazakhstan,Residence,Immigrants,Both,2006,66747
Kyrgyz Republic,Residence,Emigrants,Both,2006,34423
Kyrgyz Republic,Residence,Immigrants,Both,2006,3420
Latvia,Residence,Emigrants,Both,2006,17019
Latvia,Residence,Immigrants,Both,2006,8212
Lithuania,Residence,Emigrants,Both,2006,32390
Lithuania,Residence,Immigrants,Both,2006,7745
Luxembourg,Residence,Emigrants,Both,2006,9001
Luxembourg,Residence,Immigrants,Both,2006,14352
Malta,Residence,Emigrants,Both,2006,1908
Malta,Residence,Immigrants,Both,2006,1829
Netherlands,Residence,Emigrants,Both,2006,91028
Netherlands,Residence,Immigrants,Both,2006,101150
Norway,Residence,Emigrants,Both,2006,22053
Norway,Residence,Immigrants,Both,2006,45776
Poland,Residence,Emigrants,Both,2006,46936
Poland,Residence,Immigrants,Both,2006,10802
Portugal,Residence,Emigrants,Both,2006,12700
Portugal,Residence,Immigrants,Both,2006,38800
Moldova,Residence,Emigrants,Both,2006,6685
Moldova,Residence,Immigrants,Both,2006,1968
Romania,Residence,Emigrants,Both,2006,16672
Romania,Residence,Immigrants,Both,2006,7714
Russian Federation,Residence,Emigrants,Both,2006,54061
Russian Federation,Residence,Immigrants,Both,2006,188308
Slovak Republic,Residence,Emigrants,Both,2006,3084
Slovak Republic,Residence,Immigrants,Both,2006,12611
Slovenia,Residence,Emigrants,Both,2006,13749
Slovenia,Residence,Immigrants,Both,2006,20016
Spain,Residence,Emigrants,Both,2006,142296
Spain,Residence,Immigrants,Both,2006,840844
Sweden,Residence,Emigrants,Both,2006,44908
Sweden,Residence,Immigrants,Both,2006,95750
Switzerland,Residence,Emigrants,Both,2006,88218
Switzerland,Residence,Immigrants,Both,2006,127586
"Macedonia, FYR",Residence,Emigrants,Both,2006,1108
"Macedonia, FYR",Residence,Immigrants,Both,2006,2244
Ukraine,Residence,Emigrants,Both,2006,29982
Ukraine,Residence,Immigrants,Both,2006,44227
United Kingdom,Residence,Emigrants,Both,2006,369470
United Kingdom,Residence,Immigrants,Both,2006,529008
Armenia,Residence,Emigrants,Both,2007,7461
Armenia,Residence,Immigrants,Both,2007,1112
Australia,Residence,Emigrants,Both,2007,216580
Australia,Residence,Immigrants,Both,2007,460650
Austria,Residence,Emigrants,Both,2007,49898
Austria,Residence,Immigrants,Both,2007,72862
Azerbaijan,Residence,Emigrants,Both,2007,3090
Azerbaijan,Residence,Immigrants,Both,2007,1970
Belarus,Residence,Emigrants,Both,2007,9479
Belarus,Residence,Immigrants,Both,2007,14155
Belgium,Residence,Emigrants,Both,2007,91052
Belgium,Residence,Immigrants,Both,2007,146409
Bulgaria,Residence,Emigrants,Both,2007,2958
Bulgaria,Residence,Immigrants,Both,2007,1561
Croatia,Residence,Emigrants,Both,2007,9002
Croatia,Residence,Immigrants,Both,2007,14622
Cyprus,Residence,Emigrants,Both,2007,11389
Cyprus,Residence,Immigrants,Both,2007,19017
Czech Republic,Residence,Emigrants,Both,2007,20500
Czech Republic,Residence,Immigrants,Both,2007,104445
Denmark,Residence,Emigrants,Both,2007,41566
Denmark,Residence,Immigrants,Both,2007,64656
Estonia,Residence,Emigrants,Both,2007,4384
Estonia,Residence,Immigrants,Both,2007,3741
Finland,Residence,Emigrants,Both,2007,12443
Finland,Residence,Immigrants,Both,2007,26029
France,Residence,Emigrants,Both,2007,220354
France,Residence,Immigrants,Both,2007,293980
Germany,Residence,Emigrants,Both,2007,636854
Germany,Residence,Immigrants,Both,2007,680766
Iceland,Residence,Emigrants,Both,2007,7414
Iceland,Residence,Immigrants,Both,2007,12546
Ireland,Residence,Emigrants,Both,2007,48040
Ireland,Residence,Immigrants,Both,2007,122415
Italy,Residence,Emigrants,Both,2007,65196
Italy,Residence,Immigrants,Both,2007,558019
Kazakhstan,Residence,Emigrants,Both,2007,42435
Kazakhstan,Residence,Immigrants,Both,2007,52574
Kyrgyz Republic,Residence,Emigrants,Both,2007,54608
Kyrgyz Republic,Residence,Immigrants,Both,2007,3955
Latvia,Residence,Emigrants,Both,2007,15463
Latvia,Residence,Immigrants,Both,2007,7517
Lithuania,Residence,Emigrants,Both,2007,30383
Lithuania,Residence,Immigrants,Both,2007,8609
Luxembourg,Residence,Emigrants,Both,2007,10674
Luxembourg,Residence,Immigrants,Both,2007,16675
Malta,Residence,Emigrants,Both,2007,5029
Malta,Residence,Immigrants,Both,2007,6730
Netherlands,Residence,Emigrants,Both,2007,91287
Netherlands,Residence,Immigrants,Both,2007,116819
Norway,Residence,Emigrants,Both,2007,22122
Norway,Residence,Immigrants,Both,2007,61774
Poland,Residence,Emigrants,Both,2007,35480
Poland,Residence,Immigrants,Both,2007,14995
Portugal,Residence,Emigrants,Both,2007,26800
Portugal,Residence,Immigrants,Both,2007,46300
Moldova,Residence,Emigrants,Both,2007,7172
Moldova,Residence,Immigrants,Both,2007,2070
Romania,Residence,Emigrants,Both,2007,11999
Romania,Residence,Immigrants,Both,2007,9575
Russian Federation,Residence,Emigrants,Both,2007,47013
Russian Federation,Residence,Immigrants,Both,2007,291675
Slovak Republic,Residence,Emigrants,Both,2007,3570
Slovak Republic,Residence,Immigrants,Both,2007,16265
Slovenia,Residence,Emigrants,Both,2007,14943
Slovenia,Residence,Immigrants,Both,2007,29193
Spain,Residence,Emigrants,Both,2007,227065
Spain,Residence,Immigrants,Both,2007,958266
Sweden,Residence,Emigrants,Both,2007,45418
Sweden,Residence,Immigrants,Both,2007,99485
Switzerland,Residence,Emigrants,Both,2007,90175
Switzerland,Residence,Immigrants,Both,2007,165634
"Macedonia, FYR",Residence,Emigrants,Both,2007,240
"Macedonia, FYR",Residence,Immigrants,Both,2007,1320
United Kingdom,Residence,Emigrants,Both,2007,317587
United Kingdom,Residence,Immigrants,Both,2007,526714
Armenia,Residence,Emigrants,Both,2008,6121
Armenia,Residence,Immigrants,Both,2008,864
Australia,Residence,Emigrants,Both,2008,220280
Australia,Residence,Immigrants,Both,2008,535970
Austria,Residence,Emigrants,Both,2008,51563
Austria,Residence,Immigrants,Both,2008,73772
Azerbaijan,Residence,Emigrants,Both,2008,2530
Azerbaijan,Residence,Immigrants,Both,2008,3597
Belarus,Residence,Emigrants,Both,2008,9268
Belarus,Residence,Immigrants,Both,2008,17412
Belgium,Residence,Emigrants,Both,2008,100275
Bulgaria,Residence,Emigrants,Both,2008,2112
Bulgaria,Residence,Immigrants,Both,2008,1236
Croatia,Residence,Emigrants,Both,2008,7488
Cyprus,Residence,Emigrants,Both,2008,10500
Czech Republic,Residence,Emigrants,Both,2008,51478
Czech Republic,Residence,Immigrants,Both,2008,108267
Denmark,Residence,Emigrants,Both,2008,38356
Denmark,Residence,Immigrants,Both,2008,57357
Estonia,Residence,Emigrants,Both,2008,4406
Estonia,Residence,Immigrants,Both,2008,3671
Finland,Residence,Emigrants,Both,2008,13657
Finland,Residence,Immigrants,Both,2008,29114
France,Residence,Emigrants,Both,2008,239796
France,Residence,Immigrants,Both,2008,296608
Germany,Residence,Emigrants,Both,2008,737889
Germany,Residence,Immigrants,Both,2008,682146
Greece,Residence,Emigrants,Both,2008,43044
